i, j, k, f
0.025000 0.000000 0.200000 0.000000
0.075000 0.000000 0.200000 0.000000
0.125000 0.000000 0.200000 0.000000
0.175000 0.000000 0.200000 0.000000
0.225000 0.000000 0.200000 0.000000
0.275000 0.000000 0.200000 0.000000
0.325000 0.000000 0.200000 0.000000
0.375000 0.000000 0.200000 0.000000
0.425000 0.000000 0.200000 0.000000
0.475000 0.000000 0.200000 0.000000
0.525000 0.000000 0.200000 0.000000
0.575000 0.000000 0.200000 0.000000
0.625000 0.000000 0.200000 0.000000
0.675000 0.000000 0.200000 0.000000
0.725000 0.000000 0.200000 0.000000
0.775000 0.000000 0.200000 0.000000
0.825000 0.000000 0.200000 0.000000
0.875000 0.000000 0.200000 0.000000
0.925000 0.000000 0.200000 0.000000
0.975000 0.000000 0.200000 0.000000
0.025000 0.050000 0.200000 0.000392
0.075000 0.050000 0.200000 -0.000101
0.125000 0.050000 0.200000 0.000002
0.175000 0.050000 0.200000 0.000025
0.225000 0.050000 0.200000 0.000009
0.275000 0.050000 0.200000 0.000002
0.325000 0.050000 0.200000 0.000002
0.375000 0.050000 0.200000 0.000003
0.425000 0.050000 0.200000 0.000004
0.475000 0.050000 0.200000 0.000004
0.525000 0.050000 0.200000 0.000004
0.575000 0.050000 0.200000 0.000004
0.625000 0.050000 0.200000 0.000003
0.675000 0.050000 0.200000 0.000002
0.725000 0.050000 0.200000 0.000002
0.775000 0.050000 0.200000 0.000009
0.825000 0.050000 0.200000 0.000025
0.875000 0.050000 0.200000 0.000002
0.925000 0.050000 0.200000 -0.000101
0.975000 0.050000 0.200000 0.000392
0.025000 0.100000 0.200000 -0.000091
0.075000 0.100000 0.200000 -0.000035
0.125000 0.100000 0.200000 0.000005
0.175000 0.100000 0.200000 0.000006
0.225000 0.100000 0.200000 0.000002
0.275000 0.100000 0.200000 0.000001
0.325000 0.100000 0.200000 0.000001
0.375000 0.100000 0.200000 0.000002
0.425000 0.100000 0.200000 0.000002
0.475000 0.100000 0.200000 0.000002
0.525000 0.100000 0.200000 0.000002
0.575000 0.100000 0.200000 0.000002
0.625000 0.100000 0.200000 0.000002
0.675000 0.100000 0.200000 0.000001
0.725000 0.100000 0.200000 0.000001
0.775000 0.100000 0.200000 0.000002
0.825000 0.100000 0.200000 0.000006
0.875000 0.100000 0.200000 0.000005
0.925000 0.100000 0.200000 -0.000035
0.975000 0.100000 0.200000 -0.000091
0.025000 0.150000 0.200000 0.000022
0.075000 0.150000 0.200000 0.000011
0.125000 0.150000 0.200000 0.000001
0.175000 0.150000 0.200000 0.000005
0.225000 0.150000 0.200000 0.000008
0.275000 0.150000 0.200000 0.000009
0.325000 0.150000 0.200000 0.000009
0.375000 0.150000 0.200000 0.000009
0.425000 0.150000 0.200000 0.000009
0.475000 0.150000 0.200000 0.000009
0.525000 0.150000 0.200000 0.000009
0.575000 0.150000 0.200000 0.000009
